Thematic;Parent;Created;INDEX
SRS Services;/eos/jeodpp/data/SRS/Copernicus/Services/Land/Pan-European/Imperviousness/IMD/IMD2012/VER3-0;Tue Sep 15 10:17:09 2020;Services.Land.Pan-European.Imperviousness.IMD.IMD2012.VER3-0
SRS Services;/eos/jeodpp/data/SRS/Copernicus/Services/Land/Pan-European/Imperviousness/IMD/IMD2018/VER2-0;Tue Sep 15 10:17:31 2020;Services.Land.Pan-European.Imperviousness.IMD.IMD2018.VER2-0
SRS;/eos/jeodpp/data/SRS/EUMETSAT/LSASAF/LandSurfaceTemperature/MLST/VER1-0;Tue Nov 26 16:58:45 2019;EarthObservation.EUMETSAT.LSASAF.LandSurfaceTemperature.MLST.VER1-0
SRS;/eos/jeodpp/data/SRS/NASA/ECOSTRESS/CloudMask/ECO2CLD/VER1-0;Wed Jan 29 10:52:56 2020;EarthObservation.NASA.ECOSTRESS.CloudMask.ECO2CLD.VER1-0
SRS;/eos/jeodpp/data/SRS/NASA/ECOSTRESS/Geolocation/ECO1BGEO/VER1-0;Tue Jan 28 17:54:16 2020;EarthObservation.NASA.ECOSTRESS.Geolocation.ECO1BGEO.VER1-0
SRS;/eos/jeodpp/data/SRS/NASA/ECOSTRESS/LandSurfaceTemperature/ECO2LSTE/VER1-0;Tue Jan 28 18:07:07 2020;EarthObservation.NASA.ECOSTRESS.LandSurfaceTemperature.ECO2LSTE.VER1-0
SRS;/eos/jeodpp/data/SRS/NASA/MODIS/Cryosphere/SnowCover/MOD10C1/VER6-0;Mon Mar  9 14:46:13 2020;EarthObservation.NASA.MODIS.Cryosphere.SnowCover.MOD10C1.VER6-0
SRS;/eos/jeodpp/data/SRS/NASA/MODIS/Land/Evapotranspiration/MOD16A2/VER6-0;Tue Mar 10 00:30:23 2020;EarthObservation.NASA.MODIS.Land.Evapotranspiration.MOD16A2.VER6-0
SRS;/eos/jeodpp/data/SRS/NASA/MODIS/Land/Evapotranspiration/MYD16A2/VER6-0;Tue Mar 10 13:05:47 2020;EarthObservation.NASA.MODIS.Land.Evapotranspiration.MYD16A2.VER6-0
SRS;/eos/jeodpp/data/SRS/NASA/MODIS/Land/Indices/MOD13Q1/VER6-0;Tue Feb  4 10:44:16 2020;EarthObservation.NASA.MODIS.Land.Indices.MOD13Q1.VER6-0
SRS;/eos/jeodpp/data/SRS/NASA/MODIS/Land/Indices/MYD13Q1/VER6-0;Tue Feb  4 11:13:35 2020;EarthObservation.NASA.MODIS.Land.Indices.MYD13Q1.VER6-0
SRS;/eos/jeodpp/data/SRS/NASA/MODIS/Land/Reflectance/MOD09GQ;Thu Dec 12 16:50:14 2019;EarthObservation.NASA.MODIS.Land.Reflectance.MOD09GQ
SRS;/eos/jeodpp/data/SRS/NASA/MODIS/Land/SurfaceTemperature/MOD11A1/VER6-0;Tue Feb  4 14:31:53 2020;EarthObservation.NASA.MODIS.Land.SurfaceTemperature.MOD11A1.VER6-0
SRS;/eos/jeodpp/data/SRS/NASA/MODIS/Land/SurfaceTemperature/MYD11A1/VER6-0;Tue Feb  4 14:25:41 2020;EarthObservation.NASA.MODIS.Land.SurfaceTemperature.MYD11A1.VER6-0
SRS;/eos/jeodpp/data/SRS/NASA/MODIS/Land/SurfaceTemperature/MYD21A1D/VER6-0;Tue May 12 15:45:53 2020;EarthObservation.NASA.MODIS.Land.SurfaceTemperature.MYD21A1D.VER6-0
SRS;/eos/jeodpp/data/SRS/NASA/MODIS/Land/SurfaceTemperature/MYD21A1N/VER6-0;Tue May 12 16:46:47 2020;EarthObservation.NASA.MODIS.Land.SurfaceTemperature.MYD21A1N.VER6-0
SRS;/eos/jeodpp/data/SRS/NASA/VIIRS/LandSurfaceTemperature/VNP21A1D/VER1-0;Mon Mar 30 10:01:37 2020;EarthObservation.NASA.VIIRS.LandSurfaceTemperature.VNP21A1D.VER1-0
SRS;/eos/jeodpp/data/SRS/NASA/VIIRS/LandSurfaceTemperature/VNP21A1N/VER1-0;Wed May 13 08:15:40 2020;EarthObservation.NASA.VIIRS.LandSurfaceTemperature.VNP21A1N.VER1-0
